Sample Number,Fault Code
43,TYPE0
80,TYPE0
83,TYPE7
33,TYPE6
79,TYPE9
8,TYPE7
31,TYPE0
47,TYPE9
95,TYPE6
51,TYPE7
44,TYPE6
81,TYPE11
40,TYPE0
9,TYPE9
24,TYPE6
30,TYPE10
100,TYPE6
49,TYPE0
1,TYPE6
68,TYPE10
12,TYPE9
42,TYPE7
28,TYPE0
93,TYPE7
39,TYPE6
11,TYPE10
50,TYPE0
60,TYPE10
90,TYPE7
98,TYPE0
41,TYPE7
20,TYPE9
97,TYPE9
89,TYPE7
6,TYPE7
3,TYPE0
37,TYPE5
67,TYPE7
70,TYPE6
25,TYPE5
32,TYPE0
64,TYPE0
92,TYPE0
62,TYPE7
19,TYPE0
26,TYPE0
55,TYPE7
85,TYPE6
59,TYPE7
29,TYPE5
77,TYPE11
23,TYPE7
66,TYPE9
99,TYPE0
84,TYPE9
102,TYPE0
72,TYPE6
2,TYPE7
69,TYPE10
76,TYPE6
63,TYPE0
5,TYPE9
10,TYPE9
61,TYPE0
88,TYPE0
53,TYPE0
17,TYPE7
36,TYPE6
46,TYPE0
38,TYPE7
15,TYPE6
14,TYPE0
75,TYPE6
16,TYPE10
56,TYPE0
58,TYPE7
27,TYPE0
82,TYPE8
65,TYPE7
13,TYPE10
7,TYPE12
87,TYPE5
74,TYPE11
21,TYPE0
91,TYPE7
54,TYPE10
73,TYPE6
52,TYPE0
22,TYPE0
18,TYPE7
78,TYPE10
48,TYPE0
94,TYPE0
35,TYPE7
86,TYPE6
71,TYPE7
57,TYPE9
45,TYPE6
96,TYPE0
4,TYPE7
34,TYPE0
101,TYPE10
